
Score RelativePath                                                                                                 SizeKB MatchedTerms                                                                                                                                                  
    5 knex-pdf-engine\layout\PagePairLayoutEngine.ts                                                                 1,14 left, top, width, height, KNEX_PDF                                                                                                                            
    5 components\PdfSidebar.tsx                                                                                        12 left, top, width, highlight, annotation                                                                                                                       
    4 api\pdf-reader.service.ts                                                                                      7,08 top, selection, highlight, annotation                                                                                                                         
    4 knex-pdf-engine\viewport\ZoomController.ts                                                                    19,04 top, width, height, KNEX_PDF                                                                                                                                  
    4 knex-pdf-engine\layout\PageFrameModel.ts                                                                        0,3 left, top, width, height                                                                                                                                      
    4 services\rendering\pdfCoordinateSystem.service.ts                                                              2,02 left, top, width, height                                                                                                                                      
    4 knex-pdf-engine\viewport\HorizontalOverflowController.ts                                                      19,27 visual, left, top, width                                                                                                                                      
    4 ui\tabs\KnexreadTabs.tsx                                                                                       2,32 visual, top, width, height                                                                                                                                    
    4 components\PdfThumbnailsPanel.tsx                                                                              4,61 left, top, width, height                                                                                                                                      
    3 knex-pdf-engine\backends\future-mupdf\MuPdfRuntimeLoader.ts                                                    6,71 extractText, semantic, annotation                                                                                                                             
    3 knex-pdf-engine\backends\future-pdfium\PdfiumBackend.ts                                                        3,26 extractText, semantic, annotation                                                                                                                             
    3 hooks\index.ts                                                                                                 0,31 selection, highlight, annotation                                                                                                                              
    3 knex-pdf-engine\backends\BackendSelector.ts                                                                    3,91 extractText, selection, annotation                                                                                                                            
    3 services\extraction\pdfOcrPipeline.service.ts                                                                  0,91 visual, width, height                                                                                                                                         
    3 knex-pdf-engine\backends\future-mupdf\MuPdfBackend.ts                                                          3,24 extractText, semantic, annotation                                                                                                                             
    3 components\PdfTranslationPage.tsx                                                                              1,05 width, height, annotation                                                                                                                                     
    3 components\PdfCommentPopover.tsx                                                                               1,34 position, left, top                                                                                                                                           
    3 components\PdfHomePage.tsx                                                                                     7,55 visual, left, top                                                                                                                                             
    3 types\index.ts                                                                                                 0,38 selection, highlight, annotation                                                                                                                              
    3 types\PdfTranslation.ts                                                                                        1,84 opacity, width, height                                                                                                                                        
    2 knex-pdf-engine\translation\TranslationWorkspaceController.ts                                                  0,45 width, height                                                                                                                                                 
    2 components\PdfToolbar.tsx                                                                                      4,34 top, annotation                                                                                                                                               
    2 knex-pdf-engine\translation\BlankTranslationPageLayer.ts                                                       0,39 width, height                                                                                                                                                 
    2 utils\pdfCoordinates.ts                                                                                        1,07 width, height                                                                                                                                                 
    2 db\pdfReader.migrations.ts                                                                                     0,58 highlight, annotation                                                                                                                                         
    2 services\pdfTextExtraction.service.ts                                                                          2,31 PdfTextLayer, selection                                                                                                                                       
    2 db\pdfReader.schema.ts                                                                                         1,04 highlight, annotation                                                                                                                                         
    2 db\pdfReader.repository.ts                                                                                    17,62 highlight, annotation                                                                                                                                         
    2 services\pdfCitation.service.ts                                                                                2,25 selection, highlight                                                                                                                                          
    2 services\index.ts                                                                                              0,73 highlight, annotation                                                                                                                                         
    2 hooks\usePdfZoom.ts                                                                                            2,17 width, height                                                                                                                                                 
    2 types\PdfPageLocation.ts                                                                                       0,32 width, height                                                                                                                                                 
    2 api\pdf-reader.controller.ts                                                                                   4,11 highlight, annotation                                                                                                                                         
    2 knex-pdf-engine\backends\future-pdfium\PdfiumTextExtractor.ts                                                  0,56 extractText, semantic                                                                                                                                         
    2 knex-pdf-engine\KnexPdfEngineProvider.tsx                                                                      3,07 selection, KNEX_PDF                                                                                                                                           
    2 knex-pdf-engine\rendering\TileGridCalculator.ts                                                                0,85 width, height                                                                                                                                                 
    2 api\pdf-reader.routes.ts                                                                                       2,24 highlight, annotation                                                                                                                                         
    2 knex-pdf-engine\document\PdfPageModel.ts                                                                       0,52 width, height                                                                                                                                                 
    2 knex-pdf-engine\backends\future-pdfium\index.ts                                                                0,23 PdfiumEmbedPdfRuntime, annotation                                                                                                                             
    2 knex-pdf-engine\backends\future-mupdf\MuPdfTextExtractor.ts                                                    0,55 extractText, semantic                                                                                                                                         
    2 knex-pdf-engine\core\engineState.ts                                                                             3,6 DeviceCapabilities, selection                                                                                                                                 
    2 knex-pdf-engine\layout\ContentWidthCalculator.ts                                                               0,46 width, KNEX_PDF                                                                                                                                               
    1 types\PdfCitationExtraction.ts                                                                                 0,73 highlight                                                                                                                                                     
    1 knex-pdf-engine\integration\KnexReadIntegration.ts                                                             0,72 width                                                                                                                                                         
    1 types\PdfDocumentSource.ts                                                                                     0,59 top                                                                                                                                                           
    1 services\translation\translationProviderRouter.service.ts                                                      3,75 top                                                                                                                                                           
    1 components\PdfInteractionRenderGuard.ts                                                                        6,09 PdfPageCanvas                                                                                                                                                 
    1 knex-pdf-engine\backends\future-pdfium\PdfiumPageRenderer.ts                                                   8,02 RenderQualityController                                                                                                                                       
    1 components\PdfFileBackstage.tsx                                                                                4,44 left                                                                                                                                                          
    1 components\PdfSearchPanel.tsx                                                                                  1,36 left                                                                                                                                                          
    1 knex-pdf-engine\core\engineEvents.ts                                                                           1,38 selection                                                                                                                                                     
    1 knex-pdf-engine\core\ProtectedExtensionPointWatchdog.ts                                                        0,71 KNEX_PDF                                                                                                                                                      
    1 knex-pdf-engine\core\engineConfig.ts                                                                           0,85 KNEX_PDF                                                                                                                                                      
    1 types\PdfTranslationProvider.ts                                                                                0,73 top                                                                                                                                                           
    1 ui\knexreadLayout.ts                                                                                           0,27 height                                                                                                                                                        
    1 knex-pdf-engine\rendering\RenderScheduler.ts                                                                   4,51 RenderQualityController                                                                                                                                       
    1 knex-pdf-engine\ruler\RulerMeasurementController.ts                                                            0,14 left                                                                                                                                                          
    1 knex-pdf-engine\backends\BackendRegistry.ts                                                                    1,96 selection                                                                                                                                                     
    1 knex-pdf-engine\rendering\RenderQueue.ts                                                                        3,8 RenderQualityController                                                                                                                                       
    1 knex-pdf-engine\backends\future-mupdf\index.ts                                                                 0,18 annotation                                                                                                                                                    
    1 knex-pdf-engine\ruler\RulerTickCalculator.ts                                                                   0,76 position                                                                                                                                                      
    1 knex-pdf-engine\selection\SelectedTextExtractor.ts                                                             0,26 semantic                                                                                                                                                      
    1 knex-pdf-engine\backends\future-mupdf\MuPdfBackend.placeholder.ts                                              0,35 top                                                                                                                                                           
    1 knex-pdf-engine\ruler\RulerScrollSyncController.ts                                                             0,38 left                                                                                                                                                          
    1 services\translation\localTranslation.provider.ts                                                              2,47 top                                                                                                                                                           
    1 knex-pdf-engine\platform\DesktopPlatformAdapter.ts                                                             0,17 top                                                                                                                                                           
    1 services\translation\translationLayerCore.service.ts                                                           9,85 opacity                                                                                                                                                       
    1 services\translation\onlineTranslation.provider.ts                                                             0,62 top                                                                                                                                                           
    1 knex-pdf-engine\backends\future-pdfium\PdfiumBackend.placeholder.ts                                            0,36 top                                                                                                                                                           
    1 knex-pdf-engine\platform\WebPlatformAdapter.ts                                                                 0,38 DeviceCapabilities                                                                                                                                            
    1 services\pdfFileStorage.service.ts                                                                             2,66 top                                                                                                                                                           
    1 knex-pdf-engine\platform\PlatformAdapter.ts                                                                    0,23 DeviceCapabilities                                                                                                                                            
    1 hooks\usePdfPageNavigation.ts                                                                                  1,22 top                                                                                                                                                           



