"File","FullPath","Score","Core","TileCore","Engine","PDFJS","PDFIUM","Render","Tiles","Scale","Lifecycle","TextLayer","Server","Backend"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-pdfium\PdfiumTextExtractor.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-pdfium\PdfiumTextExtractor.ts","395","","","PDFIUM","0","4","0","0","0","0","2","0","13"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-pdfium\PdfiumAnnotationExtractor.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-pdfium\PdfiumAnnotationExtractor.ts","370","","","PDFIUM","0","4","0","0","0","0","0","0","14"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.routes.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.routes.ts","345","","","INDEFINIDO","0","0","0","0","0","0","0","23","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\server-tiles\requestServerRenderedTile.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\server-tiles\requestServerRenderedTile.ts","340","","","INDEFINIDO","0","0","0","0","0","4","0","9","7"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\pdf-tiles\PdfTileCanvasTypes.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\pdf-tiles\PdfTileCanvasTypes.ts","340","","","INDEFINIDO","0","0","0","0","1","7","0","6","3"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\platform\DeviceCapabilities.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\platform\DeviceCapabilities.ts","335","","","PDFIUM","0","2","0","0","7","0","0","0","3"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-pdfium\index.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-pdfium\index.ts","300","","","PDFIUM","0","6","0","0","0","0","0","0","4"
"knexwriter\src\modules\Knexread\native-pdf-reader\db\pdfReader.repository.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\db\pdfReader.repository.ts","300","","","INDEFINIDO","0","0","0","0","0","12","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\TileBitmapCache.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\TileBitmapCache.ts","300","","","INDEFINIDO","0","0","0","0","0","12","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\viewport\HorizontalOverflowController.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\viewport\HorizontalOverflowController.ts","285","","","INDEFINIDO","0","0","0","0","2","0","0","9","6"
